Namespace(data_path='CIFAR10/', train_batch_size=128, test_batch_size=100, epochs=50, optimizer='adam', learning_rate=0.1, momentum=0.9, weight_decay=0.0005, save=False, print_summary=False, no_training=False)

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Printing Model Summary...


Training...


Epoch: 1 ;	Train Loss: 2.13881797 ;	Train Accuracy: 23.826 ;	Test Loss: 1.95364024 ;	Test Accuracy: 24.360 ;
Epoch: 35 ;	Train Loss: 1.65467972 ;	Train Accuracy: 36.568 ;	Test Loss: 1.80021356 ;	Test Accuracy: 32.340 ;
Epoch: 36 ;	Train Loss: 1.64726709 ;	Train Accuracy: 36.656 ;	Test Loss: 2.66446519 ;	Test Accuracy: 12.990 ;
Epoch: 37 ;	Train Loss: 1.64134993 ;	Train Accuracy: 37.380 ;	Test Loss: 3.25152793 ;	Test Accuracy: 22.160 ;
Epoch: 38 ;	Train Loss: 1.64767568 ;	Train Accuracy: 36.932 ;	Test Loss: 2.32209939 ;	Test Accuracy: 24.010 ;
Epoch: 39 ;	Train Loss: 1.65305410 ;	Train Accuracy: 36.904 ;	Test Loss: 6.53380672 ;	Test Accuracy: 15.410 ;
Epoch: 40 ;	Train Loss: 1.64909578 ;	Train Accuracy: 36.852 ;	Test Loss: 2.74812875 ;	Test Accuracy: 22.770 ;
Epoch: 41 ;	Train Loss: 1.64803945 ;	Train Accuracy: 36.988 ;	Test Loss: 4.31603637 ;	Test Accuracy: 21.010 ;
Epoch: 42 ;	Train Loss: 1.64138032 ;	Train Accuracy: 37.050 ;	Test Loss: 2.55515173 ;	Test Accuracy: 29.030 ;
Epoch: 43 ;	Train Loss: 1.66035142 ;	Train Accuracy: 36.560 ;	Test Loss: 2.13554151 ;	Test Accuracy: 31.010 ;
Epoch: 44 ;	Train Loss: 1.64486127 ;	Train Accuracy: 36.866 ;	Test Loss: 2.21549283 ;	Test Accuracy: 23.660 ;
Epoch: 45 ;	Train Loss: 1.64617945 ;	Train Accuracy: 36.572 ;	Test Loss: 3.58921518 ;	Test Accuracy: 19.110 ;
Epoch: 46 ;	Train Loss: 1.63651705 ;	Train Accuracy: 37.250 ;	Test Loss: 3.25918222 ;	Test Accuracy: 24.120 ;
Epoch: 47 ;	Train Loss: 1.63885740 ;	Train Accuracy: 37.142 ;	Test Loss: 2.16638912 ;	Test Accuracy: 23.700 ;
Epoch: 48 ;	Train Loss: 1.63325820 ;	Train Accuracy: 37.024 ;	Test Loss: 1.94526071 ;	Test Accuracy: 25.150 ;
Epoch: 49 ;	Train Loss: 1.63831403 ;	Train Accuracy: 36.862 ;	Test Loss: 3.00424688 ;	Test Accuracy: 22.260 ;
Epoch: 50 ;	Train Loss: 1.62965235 ;	Train Accuracy: 37.250 ;	Test Loss: 2.42094361 ;	Test Accuracy: 23.150 ;
