

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : sgd
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_1

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.71332256 ;	Train Accuracy: 37.130 ;	Test Loss: 1.46526717 ;	Test Accuracy: 46.440 ;
Epoch: 19 ;	Train Loss: 0.39129311 ;	Train Accuracy: 86.796 ;	Test Loss: 0.48561227 ;	Test Accuracy: 83.510 ;
Epoch: 20 ;	Train Loss: 0.39005823 ;	Train Accuracy: 86.560 ;	Test Loss: 0.68072986 ;	Test Accuracy: 78.500 ;
Epoch: 21 ;	Train Loss: 0.38566841 ;	Train Accuracy: 86.986 ;	Test Loss: 0.51448046 ;	Test Accuracy: 82.870 ;
Epoch: 22 ;	Train Loss: 0.38020509 ;	Train Accuracy: 87.012 ;	Test Loss: 0.65313286 ;	Test Accuracy: 78.180 ;
Epoch: 23 ;	Train Loss: 0.37791327 ;	Train Accuracy: 87.116 ;	Test Loss: 0.53538444 ;	Test Accuracy: 82.320 ;
Epoch: 24 ;	Train Loss: 0.37511341 ;	Train Accuracy: 87.154 ;	Test Loss: 0.55108814 ;	Test Accuracy: 81.540 ;
Epoch: 25 ;	Train Loss: 0.36538368 ;	Train Accuracy: 87.664 ;	Test Loss: 0.66400893 ;	Test Accuracy: 79.470 ;
Epoch: 26 ;	Train Loss: 0.36815487 ;	Train Accuracy: 87.546 ;	Test Loss: 0.62129324 ;	Test Accuracy: 80.390 ;
Epoch: 27 ;	Train Loss: 0.36843038 ;	Train Accuracy: 87.578 ;	Test Loss: 0.42949875 ;	Test Accuracy: 85.120 ;
Epoch: 28 ;	Train Loss: 0.36469207 ;	Train Accuracy: 87.450 ;	Test Loss: 0.49445600 ;	Test Accuracy: 83.190 ;
Epoch: 29 ;	Train Loss: 0.35994642 ;	Train Accuracy: 87.700 ;	Test Loss: 0.52564778 ;	Test Accuracy: 83.260 ;
Epoch: 30 ;	Train Loss: 0.35844465 ;	Train Accuracy: 87.782 ;	Test Loss: 0.47727436 ;	Test Accuracy: 83.630 ;
Epoch: 31 ;	Train Loss: 0.36045843 ;	Train Accuracy: 87.738 ;	Test Loss: 0.59729903 ;	Test Accuracy: 80.390 ;
Epoch: 32 ;	Train Loss: 0.35664007 ;	Train Accuracy: 87.928 ;	Test Loss: 0.49113374 ;	Test Accuracy: 84.030 ;
Epoch: 33 ;	Train Loss: 0.35452164 ;	Train Accuracy: 87.890 ;	Test Loss: 0.59889373 ;	Test Accuracy: 79.790 ;
Epoch: 34 ;	Train Loss: 0.35038645 ;	Train Accuracy: 88.050 ;	Test Loss: 0.51831185 ;	Test Accuracy: 83.630 ;
Epoch: 35 ;	Train Loss: 0.35053982 ;	Train Accuracy: 88.014 ;	Test Loss: 0.58916936 ;	Test Accuracy: 80.510 ;
Epoch: 36 ;	Train Loss: 0.34458086 ;	Train Accuracy: 88.370 ;	Test Loss: 0.45437683 ;	Test Accuracy: 84.910 ;
Epoch: 37 ;	Train Loss: 0.34604060 ;	Train Accuracy: 88.242 ;	Test Loss: 0.57428485 ;	Test Accuracy: 81.290 ;
Epoch: 38 ;	Train Loss: 0.34359715 ;	Train Accuracy: 88.232 ;	Test Loss: 0.49335017 ;	Test Accuracy: 83.420 ;
Epoch: 39 ;	Train Loss: 0.34773548 ;	Train Accuracy: 88.118 ;	Test Loss: 0.49224449 ;	Test Accuracy: 83.630 ;
Epoch: 40 ;	Train Loss: 0.34587749 ;	Train Accuracy: 88.186 ;	Test Loss: 0.67629105 ;	Test Accuracy: 79.440 ;
Epoch: 41 ;	Train Loss: 0.34369801 ;	Train Accuracy: 88.312 ;	Test Loss: 0.74192951 ;	Test Accuracy: 77.170 ;
Epoch: 42 ;	Train Loss: 0.34164530 ;	Train Accuracy: 88.324 ;	Test Loss: 0.62655304 ;	Test Accuracy: 80.070 ;
Epoch: 43 ;	Train Loss: 0.34341479 ;	Train Accuracy: 88.252 ;	Test Loss: 0.40816310 ;	Test Accuracy: 86.230 ;
Epoch: 44 ;	Train Loss: 0.34188798 ;	Train Accuracy: 88.360 ;	Test Loss: 0.42184253 ;	Test Accuracy: 86.090 ;
Epoch: 45 ;	Train Loss: 0.33619408 ;	Train Accuracy: 88.574 ;	Test Loss: 0.49161471 ;	Test Accuracy: 84.240 ;
Epoch: 46 ;	Train Loss: 0.34051536 ;	Train Accuracy: 88.352 ;	Test Loss: 0.46733496 ;	Test Accuracy: 84.770 ;
Epoch: 47 ;	Train Loss: 0.33790809 ;	Train Accuracy: 88.436 ;	Test Loss: 0.54154441 ;	Test Accuracy: 82.330 ;
Epoch: 48 ;	Train Loss: 0.34158495 ;	Train Accuracy: 88.318 ;	Test Loss: 0.57578284 ;	Test Accuracy: 82.270 ;
Epoch: 49 ;	Train Loss: 0.33292473 ;	Train Accuracy: 88.754 ;	Test Loss: 0.50379993 ;	Test Accuracy: 83.510 ;
Epoch: 50 ;	Train Loss: 0.33181533 ;	Train Accuracy: 88.620 ;	Test Loss: 0.60782543 ;	Test Accuracy: 80.800 ;


Best Accuracy: 86.230

Saving Error Plot...

Error Plot saved (ResNet16_1_1_error_plot.png)

